,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
239,CA,Santa Ana-Anaheim CA,2021-12-31,0.0,0.0
240,CO,Colorado Springs CO,2021-01-31,0.0,0.0
241,CO,Colorado Springs CO,2021-02-28,0.0,0.0
242,CO,Colorado Springs CO,2021-03-31,0.0,0.0
243,CO,Colorado Springs CO,2021-04-30,0.0,0.0
244,CO,Colorado Springs CO,2021-05-31,0.0,0.0
245,CO,Colorado Springs CO,2021-06-30,0.0,0.0
246,CO,Colorado Springs CO,2021-07-31,0.0,0.0
247,CO,Colorado Springs CO,2021-08-31,0.0,0.0
248,CO,Colorado Springs CO,2021-09-30,0.0,0.0
249,CO,Colorado Springs CO,2021-10-31,0.0,0.0
250,CO,Colorado Springs CO,2021-11-30,0.0,0.0
251,CO,Colorado Springs CO,2021-12-31,0.0,0.0
252,CO,Denver CO,2021-01-31,0.0,0.0
253,CO,Denver CO,2021-02-28,0.0,0.0
254,CO,Denver CO,2021-03-31,0.0,0.0
255,CO,Denver CO,2021-04-30,0.0,0.0
256,CO,Denver CO,2021-05-31,0.0,0.0
257,CO,Denver CO,2021-06-30,0.0,0.0
258,CO,Denver CO,2021-07-31,0.0,0.0
259,CO,Denver CO,2021-08-31,0.0,0.0
260,CO,Denver CO,2021-09-30,0.0,0.0
261,CO,Denver CO,2021-10-31,0.0,0.0
262,CO,Denver CO,2021-11-30,0.0,0.0
263,CO,Denver CO,2021-12-31,0.0,0.0
264,CO,Other CO,2021-01-31,0.0,0.0
265,CO,Other CO,2021-02-28,0.0,0.0
266,CO,Other CO,2021-03-31,0.0,0.0
267,CO,Other CO,2021-04-30,0.0,0.0
268,CO,Other CO,2021-05-31,0.0,0.0
269,CO,Other CO,2021-06-30,0.0,0.0
270,CO,Other CO,2021-07-31,0.0,0.0
271,CO,Other CO,2021-08-31,0.0,0.0
272,CO,Other CO,2021-09-30,0.0,0.0
273,CO,Other CO,2021-10-31,0.0,0.0
274,CO,Other CO,2021-11-30,0.0,0.0
275,CO,Other CO,2021-12-31,0.0,0.0
276,CT,Hartford CT,2021-01-31,0.0,0.0
277,CT,Hartford CT,2021-02-28,0.0,0.0
278,CT,Hartford CT,2021-03-31,0.0,0.0
279,CT,Hartford CT,2021-04-30,0.0,0.0
280,CT,Hartford CT,2021-05-31,0.0,0.0
281,CT,Hartford CT,2021-06-30,0.0,0.0
282,CT,Hartford CT,2021-07-31,0.0,0.0
283,CT,Hartford CT,2021-08-31,0.0,0.0
284,CT,Hartford CT,2021-09-30,0.0,0.0
285,CT,Hartford CT,2021-10-31,0.0,0.0
286,CT,Hartford CT,2021-11-30,0.0,0.0
287,CT,Hartford CT,2021-12-31,0.0,0.0
288,CT,New Haven CT,2021-01-31,0.0,0.0
289,CT,New Haven CT,2021-02-28,0.0,0.0
290,CT,New Haven CT,2021-03-31,0.0,0.0
291,CT,New Haven CT,2021-04-30,0.0,0.0
292,CT,New Haven CT,2021-05-31,0.0,0.0
293,CT,New Haven CT,2021-06-30,0.0,0.0
294,CT,New Haven CT,2021-07-31,0.0,0.0
295,CT,New Haven CT,2021-08-31,0.0,0.0
296,CT,New Haven CT,2021-09-30,0.0,0.0
297,CT,New Haven CT,2021-10-31,0.0,0.0
